WIDTH,LUTs,DSPs
64,412,12
64,3947,0
64,2662,4
64,2965,3
64,1072,10
64,161,16
64,1801,6
64,3994,0
64,3298,2
64,1201,12
128,1855,36
128,12566,0
128,8374,14
128,9569,9
128,3847,30
128,5733,21
128,691,50
128,12650,0
128,10572,6
128,4238,36
256,7450,108
256,39714,0
256,4184,164
256,26464,45
256,30831,27
256,13923,88
256,4574,140
256,4104,148
256,19030,66
256,4837,136
256,40270,0
256,34201,17
256,15164,105
256,4311,144
512,27524,324
512,124495,0
512,17751,490
512,83780,140
512,97663,81
512,47718,262
512,19768,410
512,18190,442
512,62073,204
512,20722,394
512,125963,0
512,17598,506
512,108560,50
512,50537,312
512,18457,430
