WIDTH,LUTs,DSPs
32,1386,0
32,1105,0
32,738,1
32,449,2
32,204,3
32,47,4
33,907,0
33,552,1
33,226,2
33,49,4
34,1507,0
34,1190,0
34,823,1
34,208,3
34,51,4
35,971,0
35,249,2
35,63,4
36,1231,0
36,497,2
36,208,3
36,83,4
37,1493,0
37,944,1
37,577,2
37,288,3
37,118,4
38,1460,0
38,911,1
38,333,3
38,70,5
39,1553,0
39,1004,1
39,715,2
39,74,5
40,1851,0
40,753,2
40,78,5
41,1941,0
41,1392,1
41,683,3
41,82,5
42,1739,0
42,1030,2
42,85,5
43,1838,0
43,87,5
44,2133,0
44,715,4
44,203,6
44,72,9
45,2307,0
45,720,4
45,208,6
45,74,9
46,2114,0
46,1236,2
46,212,6
46,76,9
47,2178,0
47,1300,2
47,217,6
47,78,9
48,2548,0
48,792,4
48,221,6
48,80,9
49,2610,0
49,797,4
49,226,6
49,82,9
50,2307,0
50,1372,2
50,230,6
50,84,9
51,2671,0
51,2376,0
51,1441,2
51,870,4
51,408,6
51,86,9
52,3039,0
52,2744,0
52,874,4
52,412,6
52,88,9
53,3104,0
53,2809,0
53,1507,3
53,1218,4
53,110,9
54,3103,0
54,2513,0
54,2146,1
54,1857,2
54,144,9
55,3195,0
55,2586,0
55,2219,1
55,1650,3
55,94,10
56,3264,0
56,2950,0
56,2216,2
56,96,10
57,3334,0
57,3020,0
57,2286,2
57,98,10
58,3360,0
58,2732,0
58,2365,1
58,1516,4
58,100,10
59,3423,0
59,2861,0
59,2494,1
59,1319,5
59,102,10
60,3470,0
60,3222,0
60,2488,2
60,104,10
61,3520,0
61,3272,0
61,2538,2
61,1354,6
61,905,8
61,591,10
61,415,12
61,155,16
62,3539,0
62,3043,0
62,2676,1
62,1175,6
62,930,7
62,773,8
62,421,12
62,157,16
63,3611,0
63,3128,0
63,2406,2
63,1185,6
63,940,7
63,783,8
63,430,12
63,159,16
64,3645,0
64,3410,0
64,2321,3
64,1417,6
64,927,8
64,613,10
64,436,12
64,161,16
65,3735,0
65,3500,0
65,2411,3
65,1181,7
65,936,8
65,622,10
65,445,12
65,162,16
66,3776,0
66,3306,0
66,2229,3
66,962,7
66,805,8
66,451,12
66,164,16
67,3610,0
67,3375,0
67,1931,4
67,990,7
67,833,8
67,647,10
67,470,12
67,167,16
68,3662,0
68,2206,4
68,976,8
68,662,10
68,476,12
68,168,16
69,3708,0
69,1885,5
69,981,8
69,824,9
69,699,10
69,513,12
69,171,16
70,3493,0
70,1315,6
70,1026,7
70,901,8
70,529,12
70,193,16
71,4020,0
71,3471,1
71,1648,6
71,1070,8
71,900,9
71,775,10
71,228,16
72,4284,0
72,3735,1
72,1900,6
72,1033,9
72,863,10
72,613,12
72,177,17
73,4518,0
73,3420,2
73,2319,5
73,1163,9
73,993,10
73,605,13
73,179,17
74,4784,0
74,3137,3
74,2403,5
74,1247,9
74,907,11
74,644,13
74,181,17
75,4849,0
75,3202,3
75,2835,4
75,1679,8
75,1038,11
75,868,12
75,183,17
76,4820,0
76,3173,3
76,1728,8
76,1087,11
76,185,17
77,5216,0
77,3020,4
77,2153,7
77,837,13
77,187,17
78,5313,0
78,3117,4
78,2539,6
78,582,15
78,279,25
79,5706,0
79,3510,4
79,2801,6
79,1911,9
79,595,15
79,283,25
80,6008,0
80,3263,5
80,2554,7
80,1953,9
80,603,15
80,287,25
81,5901,0
81,4254,3
81,2836,7
81,1290,12
81,615,15
81,291,25
82,5995,0
82,4897,2
82,2770,8
82,623,15
82,295,25
83,5897,0
83,5348,1
83,2179,10
83,633,15
83,299,25
84,5699,0
84,2530,9
84,640,15
84,302,25
85,6098,0
85,2220,11
85,763,16
85,304,25
86,6201,0
86,1281,14
86,769,16
86,324,25
87,6675,0
87,1919,13
87,895,17
87,349,25
88,6974,0
88,2551,12
88,1015,18
88,386,25
89,6960,0
89,3077,10
89,1029,18
89,312,26
90,7138,0
90,3086,10
90,1038,18
