IN1,IN2,LUTs,DSPs
1,1,1,0
2,2,2,0
3,3,5,0
4,4,18,0
5,5,29,0
6,6,43,0
7,7,52,0
8,8,71,0
9,9,80,0
10,10,0,1
11,11,0,1
12,12,0,1
13,13,0,1
14,14,0,1
15,15,0,1
16,16,0,1
17,17,0,1
18,18,0,1
19,19,41,1
20,20,75,1
21,21,0,2
22,22,0,2
23,23,0,2
24,24,0,2
25,25,0,2
26,26,0,2
27,27,37,4
28,28,39,4
29,29,41,4
30,30,43,4
31,31,45,4
32,32,47,4
33,33,49,4
34,34,51,4
35,35,63,4
36,36,83,4
37,37,118,4
38,38,70,5
39,39,74,5
40,40,78,5
41,41,82,5
42,42,85,5
43,43,87,5
44,44,72,9
45,45,74,9
46,46,76,9
47,47,78,9
48,48,80,9
49,49,82,9
50,50,84,9
51,51,86,9
52,52,88,9
53,53,110,9
54,54,144,9
55,55,94,10
56,56,96,10
57,57,98,10
58,58,100,10
59,59,102,10
60,60,104,10
61,61,155,16
62,62,157,16
63,63,159,16
64,64,161,16
65,65,162,16
66,66,164,16
67,67,167,16
68,68,168,16
69,69,171,16
70,70,193,16
71,71,228,16
72,72,177,17
73,73,179,17
74,74,181,17
75,75,183,17
76,76,185,17
77,77,187,17
78,78,279,25
79,79,283,25
80,80,287,25
81,81,291,25
82,82,295,25
83,83,299,25
84,84,302,25
85,85,304,25
86,86,324,25
87,87,349,25
88,88,386,25
89,89,312,26
90,90,314,26
91,91,316,26
92,92,318,26
93,93,320,26
94,94,322,26
95,95,381,36
96,96,385,36
97,97,389,36
98,98,393,36
99,99,397,36
100,100,401,36
101,101,405,36
102,102,409,36
103,103,440,36
104,104,458,36
105,105,496,36
106,106,449,37
107,107,455,37
108,108,461,37
109,109,468,37
110,110,471,37
111,111,474,37
112,112,616,49
113,113,622,49
114,114,628,49
115,115,634,49
116,116,640,49
117,117,646,49
118,118,651,49
119,119,655,49
120,120,677,49
121,121,704,49
122,122,744,49
123,123,671,50
124,124,675,50
125,125,679,50
126,126,683,50
127,127,687,50
128,128,691,50
