IN1,IN2,LUTs,DSPs
1,1,0,0
2,2,2,0
3,3,3,0
4,4,21,0
5,5,24,0
6,6,75,0
7,7,68,0
8,8,118,0
9,9,117,0
10,10,158,0
11,11,158,0
12,12,217,0
13,13,219,0
14,14,249,0
15,15,256,0
16,16,313,0
17,17,317,0
18,18,203,2
19,19,204,2
20,20,10,5
21,21,10,5
22,22,11,5
23,23,11,5
24,24,49,4
25,25,50,4
26,26,53,4
27,27,54,4
28,28,57,4
29,29,58,4
30,30,61,4
31,31,62,4
32,32,65,4
33,33,66,4
34,34,86,4
35,35,87,4
36,36,168,3
37,37,171,3
38,38,293,3
39,39,298,3
40,40,301,4
41,41,303,4
42,42,149,6
43,43,151,6
44,44,156,6
45,45,158,6
46,46,163,6
47,47,165,6
48,48,170,6
49,49,172,6
50,50,177,6
51,51,179,6
52,52,255,8
53,53,258,8
54,54,340,12
55,55,343,12
56,56,355,12
57,57,358,12
58,58,332,12
59,59,335,12
60,60,345,12
61,61,348,12
62,62,358,12
63,63,361,12
64,64,371,12
65,65,374,12
66,66,384,12
67,67,387,12
68,68,406,12
69,69,410,12
70,70,456,12
71,71,460,12
72,72,543,12
73,73,549,12
74,74,577,13
75,75,581,13
76,76,483,15
77,77,487,15
78,78,502,15
79,79,506,15
80,80,521,15
81,81,525,15
82,82,540,15
83,83,543,15
84,84,555,15
85,85,558,15
86,86,551,19
87,87,554,19
88,88,530,27
89,89,533,27
90,90,543,27
91,91,546,27
92,92,556,27
93,93,559,27
94,94,569,27
95,95,572,27
96,96,582,27
97,97,585,27
98,98,595,27
99,99,598,27
100,100,608,27
101,101,611,27
102,102,627,27
103,103,630,27
104,104,661,27
105,105,664,27
106,106,741,27
107,107,746,27
108,108,773,28
109,109,776,28
110,110,673,30
111,111,676,30
112,112,686,30
113,113,689,30
114,114,699,30
115,115,702,30
116,116,712,30
117,117,715,30
118,118,725,30
119,119,728,30
120,120,821,36
121,121,827,36
122,122,991,48
123,123,994,48
124,124,1004,48
125,125,1007,48
126,126,1017,48
127,127,1019,48
128,128,1029,48
