IN1,IN2,LUTs,DSPs
1,1,1,0
2,2,2,0
3,3,5,0
4,4,18,0
5,5,29,0
6,6,43,0
7,7,52,0
8,8,71,0
9,9,82,0
10,10,0,1
11,11,0,1
12,12,0,1
13,13,0,1
14,14,0,1
15,15,0,1
16,16,0,1
17,17,0,1
18,18,0,1
19,19,41,1
20,20,78,1
21,21,0,2
22,22,0,2
23,23,0,2
24,24,0,2
25,25,0,2
26,26,0,2
27,27,38,4
28,28,40,4
29,29,42,4
30,30,44,4
31,31,46,4
32,32,48,4
33,33,50,4
34,34,52,4
35,35,64,4
36,36,84,4
37,37,122,4
38,38,71,5
39,39,75,5
40,40,79,5
41,41,83,5
42,42,86,5
43,43,88,5
44,44,73,9
45,45,75,9
46,46,77,9
47,47,79,9
48,48,81,9
49,49,83,9
50,50,85,9
51,51,87,9
52,52,89,9
53,53,111,9
54,54,148,9
55,55,95,10
56,56,97,10
57,57,99,10
58,58,101,10
59,59,103,10
60,60,105,10
61,61,171,16
62,62,173,16
63,63,175,16
64,64,177,16
65,65,179,16
66,66,181,16
67,67,185,16
68,68,187,16
69,69,173,16
70,70,195,16
71,71,234,16
72,72,179,17
73,73,181,17
74,74,183,17
75,75,185,17
76,76,187,17
77,77,189,17
78,78,281,25
79,79,285,25
80,80,289,25
81,81,293,25
82,82,297,25
83,83,301,25
84,84,304,25
85,85,306,25
86,86,327,25
87,87,351,25
88,88,392,25
89,89,314,26
90,90,316,26
91,91,318,26
92,92,320,26
93,93,322,26
94,94,324,26
95,95,349,36
96,96,353,36
97,97,357,36
98,98,361,36
99,99,369,36
100,100,373,36
101,101,377,36
102,102,381,36
103,103,411,36
104,104,429,36
105,105,471,36
106,106,421,37
107,107,427,37
108,108,433,37
109,109,439,37
110,110,442,37
111,111,445,37
112,112,803,49
113,113,809,49
114,114,815,49
115,115,821,49
116,116,827,49
117,117,833,49
118,118,838,49
119,119,840,49
120,120,865,49
121,121,893,49
122,122,935,49
123,123,857,50
124,124,859,50
125,125,865,50
126,126,869,50
127,127,873,50
128,128,879,50
